SYN,BUY,LIMIT,IOC,142,0.7790363,0.7693000,FILLED,142,142,1723973365310,110.6231546
RARE,BUY,LIMIT,IOC,138,0.3028901,0.2971000,FILLED,138,138,1723973366180,41.7988338
RARE,BUY,LIMIT,IOC,879,0.3030458,0.2973000,FILLED,879,879,1723973367219,266.37725819999997
ETH,BUY,LIMIT,IOC,0.194,2630.92,2620.45,FILLED,0.194,0.194,1723973367227,510.39848
HIGH,BUY,LIMIT,IOC,42.2,1.356905,1.330970,FILLED,17.3,42.2,1723973367227,57.261391
BAKE,BUY,LIMIT,IOC,365,0.3620,0.3572,FILLED,365,365,1723973367227,132.13
RARE,BUY,LIMIT,IOC,203,0.3035128,0.2972000,FILLED,203,203,1723973371059,61.613098400000005
ETH,BUY,LIMIT,IOC,1.823,2631.15,2620.68,FILLED,1.823,1.823,1723973371406,4796.58645
RARE,BUY,LIMIT,IOC,12286,0.3037468,0.2970000,FILLED,2423,12286,1723973374112,3731.8331848
BB,BUY,LIMIT,IOC,969,0.3171774,0.3126000,FILLED,886,969,1723973374589,307.3449006
RARE,BUY,LIMIT,IOC,215,0.3037756,0.2972000,FILLED,215,215,1723973377449,65.311754
LINA,SELL,LIMIT,IOC,8080,0.00393,0.00400,FILLED,8080,8080,1723973377449,31.754400000000004
XRP,SELL,LIMIT,IOC,41.4,0.5631,0.5658,FILLED,41.4,41.4,1723973377449,23.312340000000003
ARB,SELL,LIMIT,IOC,53.0,0.538797,0.542000,FILLED,14.5,53.0,1723973377449,28.556241
